produitid,nomproduit,catégorie,prixunitaire
1,Produit 1,Chaussures,215
2,Produit 2,Bijoux,260
3,Produit 3,Cravates,94
4,Produit 4,Maroquineries,124
5,Produit 5,Coffrets,76
6,Produit 6,Bijoux,182
7,Produit 7,Coffrets,170
8,Produit 8,Chaussures,285
9,Produit 9,Maroquineries,57
10,Produit 10,Coffrets,222
11,Produit 11,Bijoux,110
12,Produit 12,Maroquineries,141
13,Produit 13,Bijoux,247
14,Produit 14,Cravates,123
15,Produit 15,Chaussures,224
16,Produit 16,Coffrets,110
17,Produit 17,Maroquineries,295
18,Produit 18,Bijoux,210
19,Produit 19,Chaussures,36
20,Produit 20,Chaussures,289
